SKU,NOMBRE TECNICO INTERNO CON ID,ID,ETIQUETADO,¿CAMBIO?,COMENTARIO,CATEGORIA,MARCA,MODELO,FAMILIA,SUB FAMILIA,NOMBRE PARA COTIZACIONES,NOMBRE CORTO ALMACEN,COLOR,STATUS,UBICACION,UNIT/SET,RACK,PANEL,IDENTIFICADOR RFID,NUMERO DE SERIE,GARANTIA VIGENTE,PRECIO ORIGINAL,PRECIO RENTA IDEAL,PRECIO RENTA MINIMO
BP966184,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE001,AE001,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP453617,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE002,AE002,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP812762,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE003,AE003,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP288727,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE004,AE004,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP316826,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE005,AE005,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP347222,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE006,AE006,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP581755,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE007,AE007,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP399914,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE008,AE008,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP781137,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE009,AE009,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP248158,AMPLIFICADOR | CAMCO | VORTEX 3 | ID AC001,AC001,SI,,BIEN,AUDIO,CAMCO,VORTEX 3,AMPLIFICADOR,-,Amplificador :: Camco | Vortex 3,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$840.00
